key,question,answer,parent,sub_group
1,DIRECT,DIRECT,,"3,7,17"
2,GIGA,GIGA -   Tự động hóa giao dịch cho người không biết code,,"21,22"
3,Bắt đầu thế nào,Bắt đầu thế nào,1,"4,5,6"
4,Trader's Guard (TG),"- Trader's Guard là sản phẩm độc quyền của FXCE .- Là cam kết của nhà giao dịch tự thiết lập để rèn luyện bản thân cũng như bảo vệ tài khoản của mình trong quá trình giao dịch .- Khi vi phạm các điều kiện đã đặt trong TG thì nhà giao dịch sẽ bị đóng toàn bộ lệnh và khóa tài khoản trong thời gian nhất định ( tùy thuộc vào điều khoản xử phạt đã tạo ) .- Bạn có thể tham khảo thêm các thông tin về Trader's Gaurd ở đây : https://faq.fxce.com/search/category/traders-guard_633eabd957f0b40001db6192-Nếu có thêm thắc mắc về thông tin nào , vui lòng vào www.support.fxce.com để gửi yêu cầu nhờ giải đáp .",3,
5,Tạo tài khoản FXCE,"- Để thuận tiện trong việc tìm hiểu về việc tạo tài khoản FXCE , bạn vui lòng tham khảo liên kết hướng dẫn ở đây :https://faq.fxce.com/post/huong-dan-dang-ky-tai-khoan-fxce_6347c28457f0b40001db61db-Lưu ý nhập đúng địa chỉ email đăng ký để thuận lợi vào việc xác nhận email mở tài khoản .- Khi đã tạo thành công tài khoản FXCE, tiến hành đăng nhập vào web fxce.com để thao tác bước KYC tài khoản- Nếu có thêm thắc mắc về thông tin nào , vui lòng vào www.support.fxce.com để gửi yêu cầu nhờ giải đáp .",3,6
6,KYC tài khoản,"- Để thuận tiện trong việc tìm hiểu về  quy trình KYC tài khoản ở FXCE , bạn vui lòng tham khảo liên kết hướng dẫn ở đây :https://faq.fxce.com/post/huong-dan-thuc-hien-xac-minh-danh-tinh-kyc_6343d94b57f0b40001db61c4- Khi đã gửi KYC lên xét duyệt sẽ nhận được phản hồi , nếu bị từ chối thì vui lòng vào emal kiểm tra lý do và điều chỉnh thông tin gửi lên để xét duyệt lại .- Sau khi tài khoản đã được KYC thành công thì sẽ mở được tài khoản Demo Direct để tham gia giao dịch cấp vốn. - Nếu có thêm thắc mắc về thông tin nào , vui lòng vào www.support.fxce.com để gửi yêu cầu nhờ giải đáp .",3,8
7,Nhận vốn,Nhận vốn,1,"8,13"
8,Tài khoản Demo Direct,Tài khoản Demo Direct,7,"9,10,11,12"
9,Điều kiện đạt tài khoản cấp vốn,"- Để nhận được tài khoản cấp vốn ( Direct ) thì tài khoản Demo Direct cần phải đạt các yêu cầu sau :  + Giao dịch từ 3 tháng trở lên ( trong đó có tối thiểu 20 ngày vào lệnh khác nhau )  + Điểm FXCE từ 25 ( tham khảo các thông tin về điểm FXCE ở đây : https://faq.fxce.com/search/category/fxce-score_64fac6188a0de300017c1ad1)  + Tài khoản giao dịch có lợi nhuận tối thiểu 1%/ tổng 3 tháng   + Sụt giảm tài sản cao nhất trong quá trình giao dịch ( edd) < 15% ( giải thích thêm về Edd : https://faq.fxce.com/post/chi-so-sut-giam-tai-san_644631a18a0de300017c1a4d )- Khi đã đạt đủ các yêu cầu đề ra , nhà giao dịch gửi yêu cầu xét duyệt để nhận tài khoản cấp vốn ( hay còn gọi là tài khoản Direct )- Nếu có thêm thắc mắc về thông tin nào , vui lòng vào www.support.fxce.com để gửi yêu cầu nhờ giải đáp .",8,13
10,Thuộc tính của Demo Direct,"Thuộc tính của Demo Direct"",""answer"":   ""-Tài khoản Demo Direct sẽ có vốn mặc định là 10.000$ và đòn bẩy cố định 1:30- Các sản phẩm được giao dịch ở Demo Direct : Vàng , các cặp tiền Fx.- Nếu giao dịch  tay thủ công thì mỗi nhà giao dịch chỉ mở được 1 tài khoản Demo Direct .- Nếu giao dịch bằng EA thì được mở tối đa 15 tài khoản Demo Direct với điều kiện mỗi tài khoản giao dịch 1 phương pháp khác nhau .- Nhà giao dịch có thể mở bán tín hiệu bằng tài khoản Demo Direct , tham khảo hướng dẫn mở bán tín hiệu : https://faq.fxce.com/post/cach-dang-ki-ban-tin-hieu-1_634fbecc823cfc0001b1961e- Nếu có thêm thắc mắc về thông tin nào , vui lòng vào www.support.fxce.com để gửi yêu cầu nhờ giải đáp .",8,
